country,regulatory_intensity_index,strategic_orientation_index,institutional_complexity_index,education_actor_centrality_index,governance_density_index,cluster_id
Vietnam,-0.16337333772018592,-0.48025693324159957,-0.6063913144256913,-0.4741392704216199,-0.24018547525911804,3
Kazakhstan,1.8064894291783322,0.19801161062198805,0.2592111888097619,-0.17974725477234021,-0.35025295518335026,0
Iceland,3.340301674431018,-1.0421418451060906,-0.06737027930869828,-0.025282308289693523,-0.36859753517072225,0
Hungary,-0.5737207467991081,1.3141497207772592,0.07532382166831589,-0.4741392704216199,-0.4236312751328384,2
Uruguay,-0.7327661324177914,1.3141497207772592,-0.7596605739176018,1.1522520414994057,-0.4236312751328384,3
G7,-0.7270859400742671,-1.6571080504877342,-0.4653226509860411,-0.23362732261579156,-0.4419758551202104,1
Uzbekistan,-0.8122888252271332,0.09069063849167365,-1.5566961231366454,0.1473549848379706,-0.6254216549939308,3
Indonesia,-0.24032997497214154,-0.48756116656867776,-0.49595377127731527,-0.16415410002534986,1.6447383978417325,3
Slovakia,-0.7421217433365375,1.5300542647100093,0.5265215073814473,0.29058591933163014,0.47366925289365963,3
Cyprus,-0.3912863338835596,-0.5090442057659664,-0.49359165993357307,-0.4010222992146095,-0.12960879147352933,1
Croatia,-0.641883054921401,0.38199041998824146,-0.23485090914188936,-1.4063806533110061,-0.23606962283244504,2
Poland,0.3328637366841848,0.9063300266820637,1.377563169897055,0.54622113729209,-0.378017397977666,3
Lithuania,-0.06676358013955502,-0.9288585967463142,-0.4174885365187817,0.2575037658683753,-0.44899128555027645,3
Morocco,-0.2158686291570706,0.09069063849167365,-0.01403000164415627,-0.8884687739280139,-0.5199651731228869,1
United Arab Emirates,-0.8122888252271332,1.450089618808991,-0.19674676364257326,-0.8884687739280139,-0.5199651731228869,3
United Nations,-0.613482093203779,-0.589008851666985,0.39741855696576617,0.1473549848379706,-0.5199651731228869,1
Council of Europe,0.3805515669129919,-1.9484078319843021,0.008665927360634429,0.1473549848379706,-0.661912948268108,1
Greece,-0.2158686291570706,0.09069063849167365,0.008665927360634429,0.1473549848379706,-0.661912948268108,2
Luxembourg,,2.1297891089676493,-0.6085069105542492,0.1473549848379706,-0.661912948268108,2
Nigeria,-0.2158686291570706,-1.9484078319843021,-0.6085069105542492,-1.4063806533110061,-0.661912948268108,1
Malaysia,,2.1297891089676493,0.008665927360634429,-2.9601162914599826,-0.697399892054413,2
Rwanda,-0.8122888252271332,-1.9484078319843021,0.008665927360634429,0.1473549848379706,-0.697399892054413,1
