country,pca1,pca2,pca3,pca4,pca5
China,-0.05803283118935459,2.487392417372017,-1.2336974972033166,-3.096181411523826,0.8631764721442753
Portugal,-0.7033697353753875,-1.1328890236826674,0.506459370237175,0.26854028323425677,0.383291220539598
Ireland,-1.6496375911105952,-1.2485981564520376,-0.4200570042263217,0.7364277310746943,-0.348683125162481
Denmark,-0.5093326800342658,-1.159555639902219,0.14868591590911331,0.7432595956376883,-0.6071557582687754
Peru,-0.7711098198170265,0.025801788258062563,-0.443685709393077,-0.542967064711676,0.47680131784458524
Netherlands,-0.8227081847994315,-1.2198188078597807,-0.5325659127534911,2.0548371008382293,-1.8286517325588527
Czech Republic,-0.6626657388413283,-1.393564770114393,-0.5143710156038335,0.10794576143100346,0.06657037989158211
Finland,0.5080719279251568,0.2559880806672305,-0.14974231440736716,0.08876592301825495,-0.17315734612298875
Estonia,-1.2534761542349355,-0.9811193214543106,-0.860922719358255,-1.0596887170419702,-0.13314172086770718
Thailand,1.495964486140851,0.12184537830538295,-0.8425794506787431,-0.9969297083586991,-0.8023717870386617
Argentina,2.008191472303326,-1.6614862020620562,2.4313793412754845,0.51601176414427,-0.13752526370694196
Romania,0.139196715667802,-4.513090933440827,1.3877942430675885,-1.6706033848338024,1.016789991196637
Latvia,-1.004668335058004,-1.3880264962241342,-0.5715352557317008,0.6368317059813446,-0.6019836406384433
Italy,-1.4734534095825174,-1.0193707443096167,-0.5565908614202584,0.3053411997422416,-0.7515553530206807
New Zealand,-0.8966844341289824,2.165758058243179,0.6904342849519974,-0.5047467536695204,0.962575767770504
Bulgaria,1.2759606199817695,-1.1356387281758056,2.3864205143485644,0.8449980864085346,-0.19815081877523374
Kenya,0.3082099600711896,-0.611229780592088,0.17047576639488662,-0.44682966609849695,-0.7354084810981516
Korea (Republic of),-1.0215254914077196,-0.8177673939601623,-1.2470066743422854,-1.1480988517157698,-0.5456529059900067
Chile,-1.444038082976943,-0.9639159901273074,-1.0111038153972727,-2.370517285300323,0.2942522657304152
OECD,-2.3242346243085215,0.5056902744915072,0.9232970864132272,0.42663215434702584,0.7628422254098153
Russia,3.757729858428016,-0.04328524632014306,1.872228637981209,-1.4915174426957423,0.11680792043839383
Sweden,-0.32405644654881743,1.5320140715456223,-0.9470355412180586,0.004150642139848281,-1.7906418542324345
Ukraine,0.8949481648223598,1.0903709316523833,-0.0826889617337842,1.267579190751701,-0.9383878168193521
Costa Rica,0.7379069515659451,-2.3851999240973063,0.7348326197164262,0.2862989406538764,-1.110903605541944
World Economic Forum,0.11475632211734595,2.5395370510349493,-0.13807717384383145,-0.16498127562538603,-0.2554222200623032
Global Partnership on Artificial Intelligence,-3.2436540380191867,-1.9126286175539757,0.48367013741415743,0.20622823746006858,-0.1008813053952122
Slovenia,-3.028369281941062,0.5819988679145157,1.99187360102133,-1.3975508484240793,1.8532987732576247
Tunisia,1.1637115286740216,0.9198994766227334,-2.745198001621691,-0.9613895382268028,-2.92975813032355
Switzerland,2.4625944801165907,-0.6944831618705979,2.4650409824326855,0.17301188974570628,0.5025605431591951
Egypt,-1.8378147703804963,-0.8244094592187263,-0.6905220048225256,0.7293607425855143,-1.0893282292811248
Mauritius,6.343214602743357,-1.6871580855329977,-1.1558433867624747,-0.5586055373578807,-2.97310228022748
Vietnam,-0.8652657707595733,0.8439766711409593,0.29801541867001563,-0.09390367909253396,-0.5622377665233308
Kazakhstan,2.8902901484998837,-2.4224996948493924,1.9542761480336555,-1.0833943083509494,-0.2965673214609918
Iceland,6.993188578396516,-0.9593588141741555,5.554215129098428,-1.0601020632933478,0.5518466884301808
Hungary,-1.8025902200767634,0.043542466704550926,0.611455148479693,-0.46170724479842673,0.7993418891939316
Uruguay,-2.353157320998901,-2.8666841896987343,-0.6572881659455887,-1.708005152757829,0.908565953229272
G7,-0.9347153035228707,1.0763240613887932,-0.9832753605679164,-0.9304633323779381,-1.0049964963106035
Uzbekistan,-1.9054415939159266,-2.955528796416791,-1.3362760844512709,-6.275679496267709,2.6881322643667183
Indonesia,0.3594547029044488,-0.6593080533321068,-0.7146841626559801,0.21365820159460752,0.9597358021404363
Slovakia,-1.3597230342511017,-1.5613963497957526,-0.2306845817453287,1.4553579590994836,0.016659574615402246
Cyprus,-1.1478170373990813,1.7463540781449371,0.12350081419869426,-0.08793177996002664,-0.2555493960644474
Croatia,-2.2214499953550964,0.20584176878999738,0.6221537282707124,1.4905871427496917,-0.5230914834582847
Poland,0.3968328210553836,-0.5852941686595117,1.944774211358306,2.67494331530865,-0.9966371818955116
Lithuania,-0.5973711719688228,-1.115657148477489,-2.0781432901752104,0.8655219246088186,-3.4359659883616502
Morocco,-0.7059066060286335,1.4535449362856256,-0.7120612964132841,-0.9051977132133839,-1.257037689481532
United Arab Emirates,-2.236661036362619,-1.7554176884927628,0.06610526663413001,-1.2258875608591024,0.6672126054665751
United Nations,-0.7389921772973741,1.5371965146471673,0.5541033488279823,-0.7605958754897196,0.6266115924421715
Council of Europe,1.2451495901541356,7.592934794685078,-0.6863480420164324,-2.1569500448785197,-1.0920482755002454
Greece,-1.262877994934184,3.997177204363418,1.8260494424503075,0.24027899001798178,1.167341861879242
Luxembourg,-3.4518640350705936,0.33810620496865446,2.3456937013629893,1.1765854462683965,0.895647610039249
Nigeria,-0.7220448193834693,3.975460867145034,-0.6504304702817665,0.040280661641959904,-1.9216111919520538
Malaysia,-4.1334913248236695,2.118103412889818,3.4468296087691535,2.809073297835644,1.7068019863566364
Rwanda,-0.8833645904394314,5.946728180262589,2.1176328462189553,-0.3534950145306023,-0.05243951999587563
