country,cluster_id,pca1,pca2,pca3,pca4,pca5,regulatory_intensity_index,strategic_orientation_index,institutional_complexity_index,education_actor_centrality_index,governance_density_index
Mauritius,0,6.343214602743357,-1.6871580855329977,-1.1558433867624747,-0.5586055373578807,-2.97310228022748,1.134815481500552,-1.676528035920839,1.9406218792909202,0.7240128807705117,-0.14846257532225784
Vietnam,3,-0.8652657707595733,0.8439766711409593,0.29801541867001563,-0.09390367909253396,-0.5622377665233308,-0.16337333772018592,-0.48025693324159957,-0.6063913144256913,-0.4741392704216199,-0.24018547525911804
Kazakhstan,0,2.8902901484998837,-2.4224996948493924,1.9542761480336555,-1.0833943083509494,-0.2965673214609918,1.8064894291783322,0.19801161062198805,0.2592111888097619,-0.17974725477234021,-0.35025295518335026
Iceland,0,6.993188578396516,-0.9593588141741555,5.554215129098428,-1.0601020632933478,0.5518466884301808,3.340301674431018,-1.0421418451060906,-0.06737027930869828,-0.025282308289693523,-0.36859753517072225
Hungary,2,-1.8025902200767634,0.043542466704550926,0.611455148479693,-0.46170724479842673,0.7993418891939316,-0.5737207467991081,1.3141497207772592,0.07532382166831589,-0.4741392704216199,-0.4236312751328384
Uruguay,3,-2.353157320998901,-2.8666841896987343,-0.6572881659455887,-1.708005152757829,0.908565953229272,-0.7327661324177914,1.3141497207772592,-0.7596605739176018,1.1522520414994057,-0.4236312751328384
G7,1,-0.9347153035228707,1.0763240613887932,-0.9832753605679164,-0.9304633323779381,-1.0049964963106035,-0.7270859400742671,-1.6571080504877342,-0.4653226509860411,-0.23362732261579156,-0.4419758551202104
Uzbekistan,3,-1.9054415939159266,-2.955528796416791,-1.3362760844512709,-6.275679496267709,2.6881322643667183,-0.8122888252271332,0.09069063849167365,-1.5566961231366454,0.1473549848379706,-0.6254216549939308
Indonesia,3,0.3594547029044488,-0.6593080533321068,-0.7146841626559801,0.21365820159460752,0.9597358021404363,-0.24032997497214154,-0.48756116656867776,-0.49595377127731527,-0.16415410002534986,1.6447383978417325
Slovakia,3,-1.3597230342511017,-1.5613963497957526,-0.2306845817453287,1.4553579590994836,0.016659574615402246,-0.7421217433365375,1.5300542647100093,0.5265215073814473,0.29058591933163014,0.47366925289365963
Cyprus,1,-1.1478170373990813,1.7463540781449371,0.12350081419869426,-0.08793177996002664,-0.2555493960644474,-0.3912863338835596,-0.5090442057659664,-0.49359165993357307,-0.4010222992146095,-0.12960879147352933
Croatia,2,-2.2214499953550964,0.20584176878999738,0.6221537282707124,1.4905871427496917,-0.5230914834582847,-0.641883054921401,0.38199041998824146,-0.23485090914188936,-1.4063806533110061,-0.23606962283244504
Poland,3,0.3968328210553836,-0.5852941686595117,1.944774211358306,2.67494331530865,-0.9966371818955116,0.3328637366841848,0.9063300266820637,1.377563169897055,0.54622113729209,-0.378017397977666
