country,n_docs,n_statements,n_norm,other_low_confidence,n_rule,n_strategy,pct_a_explicit,pct_a_inferred,pct_a_conjoined,mean_c_count,pct_b_found,pct_o_local_present,pct_i_conjoined,pct_a_raw_present,pct_b_text_present,pct_c_text_present,pct_edu_actor_A,pct_edu_domain,dclass_obligation,dclass_permission,dclass_prohibition,statements_per_doc,n_strategy_share,n_norm_share,n_rule_share,rule_to_norm_ratio,rule_to_strategy_ratio,n_strong_deontic,strong_deontic_share
France,11,103,62,2,4,35,0.912621359223301,0.0,0.1650485436893204,0.3883495145631068,0.4854368932038835,0.04854368932038835,0.3300970873786408,0.912621359223301,0.4854368932038835,0.2912621359223301,0.04854368932038835,0.6893203883495146,36.0,29.0,3.0,9.363636363636363,0.33980582524271846,0.6019417475728155,0.038834951456310676,0.06451612903225806,0.11428571428571428,39.0,0.3786407766990291
Colombia,11,78,31,3,2,42,0.9102564102564102,0.0,0.2692307692307692,0.47435897435897434,0.47435897435897434,0.02564102564102564,0.21794871794871795,0.9102564102564102,0.47435897435897434,0.34615384615384615,0.02564102564102564,0.8076923076923077,16.0,20.0,0.0,7.090909090909091,0.5384615384615384,0.3974358974358974,0.02564102564102564,0.06451612903225806,0.047619047619047616,16.0,0.20512820512820512
Saudi Arabia,11,59,30,8,1,20,0.8135593220338984,0.0,0.15254237288135594,0.4915254237288136,0.6949152542372882,0.01694915254237288,0.15254237288135594,0.8135593220338984,0.6949152542372882,0.3559322033898305,0.0,0.9322033898305084,29.0,10.0,0.0,5.363636363636363,0.3389830508474576,0.5084745762711864,0.01694915254237288,0.03333333333333333,0.05,29.0,0.4915254237288136
Serbia,10,83,21,3,1,58,0.8313253012048193,0.0,0.21686746987951808,0.5783132530120482,0.3253012048192771,0.012048192771084338,0.27710843373493976,0.8313253012048193,0.3253012048192771,0.46987951807228917,0.08433734939759036,0.8192771084337349,13.0,12.0,0.0,8.3,0.6987951807228916,0.25301204819277107,0.012048192771084338,0.047619047619047616,0.017241379310344827,13.0,0.1566265060240964
Israel,10,61,27,3,0,31,0.8032786885245902,0.0,0.08196721311475409,0.5409836065573771,0.4262295081967213,0.0,0.26229508196721313,0.8032786885245902,0.4262295081967213,0.4426229508196721,0.03278688524590164,0.8032786885245902,17.0,13.0,0.0,6.1,0.5081967213114754,0.4426229508196721,0.0,0.0,0.0,17.0,0.2786885245901639
Norway,9,136,90,5,1,40,0.8308823529411765,0.0,0.19852941176470587,0.45588235294117646,0.5588235294117647,0.014705882352941176,0.14705882352941177,0.8308823529411765,0.5588235294117647,0.38235294117647056,0.0,0.9485294117647058,48.0,47.0,1.0,15.11111111111111,0.29411764705882354,0.6617647058823529,0.007352941176470588,0.011111111111111112,0.025,49.0,0.3602941176470588
Canada,9,50,26,1,0,23,0.84,0.0,0.12,0.42,0.42,0.0,0.18,0.84,0.42,0.3,0.0,0.84,15.0,11.0,1.0,5.555555555555555,0.46,0.52,0.0,0.0,0.0,16.0,0.32
China,9,13,9,0,0,4,0.6923076923076923,0.0,0.07692307692307693,0.15384615384615385,0.7692307692307693,0.0,0.5384615384615384,0.6923076923076923,0.7692307692307693,0.15384615384615385,0.0,0.9230769230769231,8.0,1.0,0.0,1.4444444444444444,0.3076923076923077,0.6923076923076923,0.0,0.0,0.0,8.0,0.6153846153846154
Portugal,7,88,23,2,1,62,0.8181818181818182,0.0,0.09090909090909091,0.3068181818181818,0.5,0.022727272727272728,0.2727272727272727,0.8181818181818182,0.5,0.2727272727272727,0.09090909090909091,0.8068181818181818,9.0,17.0,0.0,12.571428571428571,0.7045454545454546,0.26136363636363635,0.011363636363636364,0.043478260869565216,0.016129032258064516,9.0,0.10227272727272728
Ireland,7,85,20,1,0,64,0.8470588235294118,0.0,0.2235294117647059,0.43529411764705883,0.36470588235294116,0.0,0.17647058823529413,0.8470588235294118,0.36470588235294116,0.35294117647058826,0.058823529411764705,0.788235294117647,9.0,12.0,0.0,12.142857142857142,0.7529411764705882,0.23529411764705882,0.0,0.0,0.0,9.0,0.10588235294117647
