doc_id,doc_char_count,n_chunks
1331c9176233b177,716154,468
14200d5df322c1aa,4584,3
145974e98492b69e,17987,8
148b568b25497c33,61211,38
14a1ddd5dd54ed54,155179,63
14ad78141c72ae5d,4226046,1694
14cfe36633502daa,17892,50
14e9372978994c10,433442,197
15216af5a0422c53,37381,35
153f0fd7f88b4213,8909,4
1550a626ca3a6870,355945,143
15bd6409b56fd37a,7025,4
15d5faa92843106d,10861,22
15e530e2dea42617,19487,8
160b3e35911ba750,4972,2
16296a4e761b4545,7278,4
16564dec040ded79,4529,3
16996fe3ed16caf4,92782,52
16d33d8d19186648,12600,12
185321ef063d9a4d,15791,7
1856846149f656e1,111295,46
1858745e73ca4d88,18926,8
18d02f493a531b0f,40317,28
18e7d96015d8b28e,3120,2
1978ef52de2cdc5a,10533,5
198ecea9b783ced1,29590,19
19a229dff84915c5,144544,62
1a689750936ab5a1,3884,2
1a7b88a07ac115e4,2979,2
1a9798b1c0056c9d,100345,55
1aba127f03677756,12620,6
1aeef3038dbf52cf,3682,2
1af81a7a1cf8762b,104893,42
1b4c4c6522608e1d,7544,4
1b5ab361a5ed2469,95746,39
1b6b6246f2716978,667647,268
1bd61ceb9a8d322c,3855,2
1c25ee69f96ab379,5415,3
1d457e81198cff87,89983,36
1d5d294d5de8e299,8096,4
1dc7ce39d9331780,8866,4
1e243785e2a96651,135264,104
1eb9f011e2abfe3d,85644,39
1eca3bee6f2a0287,23083,13
1ed8bfb736cf1497,4865,2
1f3ffc1c37ef1e0b,101063,41
1f4626b19eca6c54,8869,16
1f521d884125e2cf,130761,54
1f68c8908aa5ca9d,1855187,796
1f773be061111b0c,67923,28
1fda09b5e2732a41,94166,38
1fec5937dd3444ee,79305,32
1fffadb53605783a,593451,238
2000e310572a1fcd,27722,16
20481f4f162ea7cc,11195,8
20c07e4d14f9b12d,0,0
2154e84ccbd12627,92436,37
215c959a228ef99d,5214,3
218727096df72b49,7427,3
21a6c63f1cc02732,59997,86
21b847dcb820516b,143251,58
21e2f6976954b893,7061,3
22643744f143add5,155470,63
2361ba73de3681a0,147495,66
23c5f30ba7ef0f28,97939,40
2404ec53747f74f1,62378,29
24e98e84927e2589,395290,159
24f42dcab07403a9,5174,3
253d26f05d992416,15373,11
257f322b64d88fe3,318037,130
258754bbfcfa1fd1,6345,3
25aa9377c632921d,72620,30
26250ebdfd18c6e3,319279,205
262d42b30807a807,2841,5
2692befbaa559d3f,4703,4
26ac985b3d682d00,20298,9
26b11a1a3fd97fe2,102556,42
27357a61954b9a61,5009,9
274680d180e7b7ed,15772,9
27c1fba7e91f4dcf,17723,19
27c79e515cb265c0,4667,2
28232e9aee8f0f48,49924,20
28dcd93aa020aa66,405992,314
2917c92e35cef4cb,472457,192
296eee9a8237754f,112612,46
2aa454f40919eb2d,7468,7
2aba718dfb8da87c,6652,3
2ac916a76225ae86,85722,35
2af2668500d6e13f,4385,4
2b4147b7e3c5120d,149980,62
2b48118e3ec1863c,20530,9
2ba7440ba5dfc9e4,3495,2
2c30de961c752d05,96366,40
2c877e13a93dc939,10336,5
2ccae0482abe713a,4357,2
2ce3b08cca3f63b3,6269,3
2d2f5480f54888fa,41997,17
