row,doc_id,chunk_id
246,0293fdef24d89c59,0293fdef24d89c59_00034
247,0293fdef24d89c59,0293fdef24d89c59_00035
248,0293fdef24d89c59,0293fdef24d89c59_00036
249,0293fdef24d89c59,0293fdef24d89c59_00037
250,0293fdef24d89c59,0293fdef24d89c59_00038
251,0293fdef24d89c59,0293fdef24d89c59_00039
252,0293fdef24d89c59,0293fdef24d89c59_00040
253,0293fdef24d89c59,0293fdef24d89c59_00041
254,0293fdef24d89c59,0293fdef24d89c59_00042
255,0293fdef24d89c59,0293fdef24d89c59_00043
256,0293fdef24d89c59,0293fdef24d89c59_00044
257,0293fdef24d89c59,0293fdef24d89c59_00045
258,0293fdef24d89c59,0293fdef24d89c59_00046
259,0293fdef24d89c59,0293fdef24d89c59_00047
260,0293fdef24d89c59,0293fdef24d89c59_00048
261,0293fdef24d89c59,0293fdef24d89c59_00049
262,0293fdef24d89c59,0293fdef24d89c59_00050
263,0293fdef24d89c59,0293fdef24d89c59_00051
264,0293fdef24d89c59,0293fdef24d89c59_00052
265,0293fdef24d89c59,0293fdef24d89c59_00053
266,0293fdef24d89c59,0293fdef24d89c59_00054
267,0293fdef24d89c59,0293fdef24d89c59_00055
268,0293fdef24d89c59,0293fdef24d89c59_00056
269,0293fdef24d89c59,0293fdef24d89c59_00057
270,0293fdef24d89c59,0293fdef24d89c59_00058
271,0293fdef24d89c59,0293fdef24d89c59_00059
272,0293fdef24d89c59,0293fdef24d89c59_00060
273,0293fdef24d89c59,0293fdef24d89c59_00061
274,0293fdef24d89c59,0293fdef24d89c59_00062
275,0293fdef24d89c59,0293fdef24d89c59_00063
276,0293fdef24d89c59,0293fdef24d89c59_00064
277,0293fdef24d89c59,0293fdef24d89c59_00065
278,0293fdef24d89c59,0293fdef24d89c59_00066
279,0293fdef24d89c59,0293fdef24d89c59_00067
280,0293fdef24d89c59,0293fdef24d89c59_00068
281,0293fdef24d89c59,0293fdef24d89c59_00069
282,0293fdef24d89c59,0293fdef24d89c59_00070
283,0293fdef24d89c59,0293fdef24d89c59_00071
284,02d9e6d982b9ece6,02d9e6d982b9ece6_00000
285,02d9e6d982b9ece6,02d9e6d982b9ece6_00001
286,02d9e6d982b9ece6,02d9e6d982b9ece6_00002
287,02d9e6d982b9ece6,02d9e6d982b9ece6_00003
288,02d9e6d982b9ece6,02d9e6d982b9ece6_00004
289,02d9e6d982b9ece6,02d9e6d982b9ece6_00005
290,02d9e6d982b9ece6,02d9e6d982b9ece6_00006
291,02d9e6d982b9ece6,02d9e6d982b9ece6_00007
292,02d9e6d982b9ece6,02d9e6d982b9ece6_00008
293,02d9e6d982b9ece6,02d9e6d982b9ece6_00009
294,02d9e6d982b9ece6,02d9e6d982b9ece6_00010
295,02d9e6d982b9ece6,02d9e6d982b9ece6_00011
296,02d9e6d982b9ece6,02d9e6d982b9ece6_00012
297,02d9e6d982b9ece6,02d9e6d982b9ece6_00013
298,02d9e6d982b9ece6,02d9e6d982b9ece6_00014
299,02d9e6d982b9ece6,02d9e6d982b9ece6_00015
300,02d9e6d982b9ece6,02d9e6d982b9ece6_00016
301,02f17f5672db9af3,02f17f5672db9af3_00000
302,02f17f5672db9af3,02f17f5672db9af3_00001
303,03807803a9187364,03807803a9187364_00000
304,03807803a9187364,03807803a9187364_00001
305,03807803a9187364,03807803a9187364_00002
306,03807803a9187364,03807803a9187364_00003
307,03807803a9187364,03807803a9187364_00004
308,03807803a9187364,03807803a9187364_00005
309,03807803a9187364,03807803a9187364_00006
310,03807803a9187364,03807803a9187364_00007
311,03807803a9187364,03807803a9187364_00008
312,03807803a9187364,03807803a9187364_00009
313,03807803a9187364,03807803a9187364_00010
314,03807803a9187364,03807803a9187364_00011
315,03807803a9187364,03807803a9187364_00012
316,03807803a9187364,03807803a9187364_00013
317,03807803a9187364,03807803a9187364_00014
318,03807803a9187364,03807803a9187364_00015
319,03807803a9187364,03807803a9187364_00016
320,03807803a9187364,03807803a9187364_00017
321,03807803a9187364,03807803a9187364_00018
322,03807803a9187364,03807803a9187364_00019
323,03807803a9187364,03807803a9187364_00020
324,03807803a9187364,03807803a9187364_00021
325,03807803a9187364,03807803a9187364_00022
326,03807803a9187364,03807803a9187364_00023
327,03807803a9187364,03807803a9187364_00024
328,03807803a9187364,03807803a9187364_00025
329,03807803a9187364,03807803a9187364_00026
330,03807803a9187364,03807803a9187364_00027
331,03807803a9187364,03807803a9187364_00028
332,03807803a9187364,03807803a9187364_00029
333,03807803a9187364,03807803a9187364_00030
334,03807803a9187364,03807803a9187364_00031
335,03807803a9187364,03807803a9187364_00032
336,03807803a9187364,03807803a9187364_00033
337,03807803a9187364,03807803a9187364_00034
338,03807803a9187364,03807803a9187364_00035
339,03807803a9187364,03807803a9187364_00036
340,03807803a9187364,03807803a9187364_00037
341,03807803a9187364,03807803a9187364_00038
342,03807803a9187364,03807803a9187364_00039
343,03807803a9187364,03807803a9187364_00040
344,03807803a9187364,03807803a9187364_00041
345,03807803a9187364,03807803a9187364_00042
346,03807803a9187364,03807803a9187364_00043
347,03807803a9187364,03807803a9187364_00044
348,03807803a9187364,03807803a9187364_00045
349,03807803a9187364,03807803a9187364_00046
