country,n_chunks,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25
Malta,699,0.11878736518923831,0.014926514699846781,-0.005037746747130714,0.0017433803090619157,-0.0031118609036400804,-0.0005079660197738933,0.009950025474664836,0.00028751294354274786,-0.012673442133854915,0.0057029962222585745,-0.021106728484335445,-0.006578531073191033,-0.0030687064139499577,-0.0230434804941444,-0.006097397093524584,0.013809537893412268,0.001267190280560954,0.0018738765717598738,-0.015782753490297122,0.01074386662222895,-0.004057366805694185,-0.008827916523629594,0.012299178223276018,0.00816538508484081,-0.003977583240821822
Mauritius,462,0.08118041691273513,-0.00686392286824045,-0.003920624429982386,0.0007058180640322696,-0.018788315447765346,3.8710038888255816e-05,0.007687273428858002,0.0006072661019930959,-0.004775609295339113,0.029477278994185938,0.004529317939384903,0.002261054666186569,-0.014313181237478613,-0.011323836557365926,0.0037221608677759596,0.0013661973620442706,0.008035716539510926,-0.005914342028500581,-0.0007872997122471801,0.018072143343678435,-0.010203394240364195,-0.010616673745190675,-0.013595581989284606,-0.0009739956063573373,-0.004586569278780429
Mexico,720,0.1915137928581263,0.03731501768798301,0.00553934879629702,-0.06951676288696874,0.052955755251924586,-0.0005181333532661634,-0.004414066452029561,-0.003255051575372656,0.054250160137903534,0.006699550817646575,0.0010308025955870093,-0.02733275686848797,0.03146586617903043,-0.013325842702304688,0.002403976425813312,0.06405532424500299,-0.04792936194655015,0.008755749662972228,0.02710261342478292,-0.01360175175640866,0.013915138855813032,0.0046998551990936645,-0.03300088833438725,-0.02723883498186501,0.013934360573237978
Morocco,7,0.16024714089669906,0.0050211809285517165,0.007735620260389439,-0.025007713566168745,-0.03040523232980766,0.0036399431528222116,-0.08384913574322109,0.006954162832922567,0.021646668843276543,0.0007992192299453809,0.0008652459370409358,-0.007688656556608667,-0.0842572723747315,-0.05370695285017112,0.02903978806162915,0.02620937049085714,-0.037266989820872086,0.013745463853716524,-0.013306579131454213,-0.006686323854801877,-0.029128228176871773,0.037078022377993805,0.0050175419869667465,0.04321073890997284,0.03363611920354427
Netherlands,364,0.18686241044580035,0.05480411990118512,-0.011627741972438935,0.05583075785244893,-0.005272404822491391,-0.0010253916693953927,0.024070896517080845,0.00015890530085827705,-0.025446762558872727,0.002006698072359837,-0.0023956946084352153,0.006012985513913907,-0.0032142106250808663,-0.0002976454372518206,-0.000601215949624468,0.0022698757697387603,-0.01411155230991227,-0.014298831477634246,0.0008014013174373188,0.022951520631876506,-0.008486843893140947,-0.014072120227320377,-0.010789485319690047,0.021493000454084053,0.03498911840738865
New Zealand,185,0.11164812443791487,5.886566504567473e-05,0.0007411965423688761,-0.04383582557691127,0.0027295295383573375,0.00037184952085974536,-0.02096937981184349,-0.0027944107137126647,-0.01891846651805089,0.005957173521043318,-0.015207774286231107,0.00953414453819407,-0.00022814767407253333,-0.04149040272938,-0.025474289344582707,0.00810652777359473,0.02214274921112091,-0.0015357900321106197,0.010723748691931817,0.013235292913809777,-0.014133245463662196,-0.017648468268190002,0.0012215005328783343,0.003917776388209324,-0.005471148092743608
Nigeria,99,0.050047971825080105,-0.027476785883776073,-0.001026146235110927,-0.03453406220315935,-0.019279483912459042,-6.913873192316283e-05,0.008373506631826424,0.0017402109501551304,-0.001612142305688378,0.01673263238113782,-0.03027937544681076,-0.006605617280479955,-0.002719650856536505,-0.02783851643045434,-0.02277753520153544,0.013704782901104757,0.009429461087124077,0.036832182141387046,-0.008469189069983639,0.013103308030208254,-0.019291895954733435,-0.006230467469764193,-0.005590445267331051,0.008411994850964433,-0.004243626471929703
Norway,691,0.16314816328479556,0.029721717644381133,-0.001692308026463966,-0.042729098996733154,0.03612622860312113,-0.000508148606023568,-0.009986573494796928,-0.005139530849505786,0.007901552582088864,-0.002483422321201996,0.009791230719943037,0.004797689790675329,-0.028540976969009542,0.008557784771194989,-0.015845179308999594,-0.0013021696198928726,-0.0003828983138283791,-0.012423846105536563,-0.006869856339682995,-0.007467654755081782,0.0015188499939957935,0.0013983682638197615,0.021876404669505158,0.001591297347099232,0.013254038498152055
OECD,315,0.13636203918513032,0.04148352911656735,-0.010085918549778496,0.0641497130758309,-0.008506613074559763,-0.0014401551262748032,0.04446828876997521,0.0016557027229468476,-0.007711978347812209,0.0013546548632988786,-0.009741674486179854,-0.0040789391625353465,0.018368776153742626,-0.01729125802362518,0.011709055267039185,-0.004484503372319133,-0.009231590401597623,0.003008008935806813,-0.003878455819727908,-0.0032660000049477855,0.005120502187963725,-0.005016650617363233,0.011123129302392407,-0.007287669748070828,0.00979866744771693
Peru,2974,0.0613427241105146,0.004284545408958008,0.30463255618038626,0.001988428770533143,-0.0056877381058454204,-0.00019710158104724494,-0.017551807131326858,-0.00392202365423245,-0.01748374509333889,0.0016281014492570383,0.010483964687737728,-0.01679437815441703,0.02708135286809582,0.003012699484683225,0.011994625879019883,0.0038525947131396497,7.555218564569453e-05,0.009272821291450009,-0.006392376605259223,-0.008729560018486899,-0.0021522313190302997,0.011333639060303248,0.0001417580213051857,-0.0018206760530072896,-0.004578292321594931
Poland,133,0.1559186898423061,0.04407520883798968,-0.004789468668429759,0.039422216794091795,-0.0128536654849384,0.00037796056765376817,-0.010660244859932316,0.0022538908502705885,0.008167975287522779,0.005208223436581221,0.004212542627930597,-0.007009310139406914,-0.014423989745964472,0.023298868856953796,-0.006163280177326048,0.009434377273144612,-0.010699211086387208,-0.005997416418634275,0.0030573139596538758,0.0038140375413758167,-0.0016951072361644183,-0.003423189516872956,0.006963119944010396,0.011736271045258,0.0033868128696278883
Portugal,323,0.17460152194351972,0.03613576675035504,0.008661653952728493,-0.012205315672023638,-0.008734144579293189,0.001691630800416302,-0.05913693895514078,-0.0007782235580111419,-0.018707331789041805,0.006703532982178577,0.005960714752956226,-0.02512417496723418,0.0040905099550802015,0.002429846160940038,0.010559823052798581,-0.0060740622612502826,-0.010268032166547973,-0.007752927309709725,-0.009865908262643858,-0.00565984545967877,0.003982944194123632,0.006373049041367246,0.00853200553163184,-0.0029105712060327597,0.008805652663997172
