country,cluster_id,pca1,pca2,regulatory_intensity_index,strategic_orientation_index,institutional_complexity_index,governance_density_index
Global Partnership on Artificial Intelligence,0,2.8262448493829058,1.0021633647977253,-1.26436249450522,0.7178054222612713,-0.7651221628229279,-0.5903484181438842
Greece,0,2.4353001020744176,0.6595382252703972,-0.7598153789627713,0.6077657207917762,-1.126596975550541,-0.6938159718899967
Hungary,0,0.4216380464543661,-1.1290910901575368,0.2489792884962098,0.4278501515432642,0.3718766988916679,-0.5221507379991034
Iceland,0,-4.221031175978848,-4.393123178577556,2.815595335787658,-1.0619230897014489,1.2675379384002157,-0.1845794588165941
India,0,-1.2277785881238097,0.4185371274715959,0.0464753625137361,-0.7170449109728705,0.22437693589083,0.4246817126610024
Indonesia,0,1.561413546646385,1.1827976432280964,-0.774455653751077,0.1892928634847261,-0.3731941646180864,1.2695666554559886
Ireland,0,1.919194359384972,1.3442697328896394,-0.6751247822335243,1.044860039603384,-0.6896817871363724,0.2914037240458728
Israel,0,-0.4527846095009208,-0.3252320077506835,-0.0717290710396902,0.0266440022605452,0.7667671408024268,0.0014273791355498
Italy,0,0.1404938696228631,-0.3784275629953564,-0.064121486267359,-0.0964799835709723,0.2200470123300969,-0.2267567515918235
Japan,0,-2.695704945737009,0.0482036030425411,0.75290858861318,-0.7567369667015454,0.6320931406479248,0.5847144056634864
Kazakhstan,0,-1.4387664237921145,-2.7882879334256376,1.2477121374873537,-0.2883408132911649,0.8524466442534573,-0.6364138086677539
Kenya,0,1.1809278783601462,0.53344893280512,-0.3880404353600645,0.1249257094147876,-0.6367502051082676,0.159298953648627
Korea (Republic of),0,0.8618777234154413,-0.2218365522435323,-0.0941537511157695,0.3073569540953447,-0.1934742760563604,-0.3223059568347891
Latvia,0,1.307509856035268,0.2163984374303923,-0.8168032375824514,-0.0343178981473724,0.2803294291352523,-0.2512327032066023
Lithuania,0,1.5997221232396122,-0.0164776421685336,-0.4819000630434761,0.1431943609561497,-0.3058946512404711,-0.4322286761653522
Luxembourg,0,2.10069276799231,0.3298797634485766,-0.9806893455436568,0.8744640940307464,-0.0268899895542302,-0.6126291653022403
Malaysia,0,3.0376217329049795,0.3829244164658723,,2.420226094028045,0.461268469572635,-0.7401192789257922
Malta,0,-0.298253030539982,0.3597141434221908,-0.05387385214356,-0.0619731699796982,-0.13997934030145,0.1315743152710078
Mauritius,0,-2.1057040171441868,-2.131606309379988,0.9757616347571256,-1.362216380696082,0.486467879584249,0.4167224125525646
Mexico,0,-0.1900322113989087,0.1892899853201282,0.1063834178161544,-0.3626076898997376,-0.0663065135398343,0.1042391691429395
Morocco,0,2.455622598034283,0.2808258674366121,-0.8203610328278645,1.1701182906499483,-0.0871096765802184,-0.7093302186497482
Netherlands,0,-1.223521816927442,-1.2692471144498183,1.013062739645146,-0.0899508822917708,0.3370074245811901,-0.0269625386367682
New Zealand,0,-0.5006818620983834,-0.8646159388708967,-0.2625595273626634,-0.9081267446673904,0.2947725500683014,-0.3308154263340693
Nigeria,0,-4.794447549221026,-5.481013542158954,1.4151258098352837,-2.182661258639967,1.1058377892888545,-0.56937994466773
Norway,0,-0.9549474167119544,0.3372140696748289,-0.0761052246687312,-0.5347836253995414,0.4423082238334117,0.4214628353534076
OECD,0,-0.2317166235603222,-0.7320287325346883,-0.0131079903894468,-0.8980727381319252,-0.1767794957447935,-0.3843396543237418
Peru,0,1.4907624453309722,1.339411118066686,-0.4828932394008309,0.4004103232282295,-0.4850920241872771,0.1716284852635797
Poland,0,0.9417308560964992,-0.8960981072238509,0.301708829816393,1.0132561045938844,0.2313746277285202,-0.5154393401919686
Portugal,0,1.9961238991357568,0.9384907668973156,-0.4403529350105644,0.935552576140826,-0.5922674529350969,-0.1340183954156171
Romania,0,2.8320041017189226,1.0039532618552336,-0.4927939059392578,1.4989939529722556,-0.9304124893834452,-0.3510086696711433
Russia,0,1.276196234706443,-0.3873496591253703,0.4631491029733778,1.1556848002135427,-0.0611102863164814,-0.5498015326488567
Rwanda,0,-1.814794391571876,-2.9140821619864674,1.4751943304123794,-0.7277313963296854,1.308349786831014,-0.6550927946354904
Saudi Arabia,0,-2.0021281306118603,-1.0868532349559543,0.483055105907796,-1.1773661594171556,1.2246221815291416,0.0557263374000752
Serbia,0,1.2661216565000892,0.3057396365403432,-0.2712256369087312,1.0376756069073192,0.0534014478432064,-0.0856940497105627
Singapore,0,0.0363934148442883,0.2389782031965631,-0.0556030826731602,-0.1740468484454064,-0.3922515561556663,-0.0008111396555895
Slovakia,0,1.920010090729324,0.4272450767995002,-0.4272615246015439,1.4959665530965616,-0.1593188301199257,0.0714773189434782
Slovenia,0,1.42447530361192,-0.0349003582275153,-0.0071297481376797,0.7590950353201518,-0.6675886656113514,-0.4300349087229152
Spain,0,-0.7808468104189312,0.5775050832437253,-0.2367631822840899,0.2399456263653735,0.5045934830535099,0.4944394770755786
Sweden,0,0.4617466082761993,-0.2584177733371935,-0.3754692909225521,-0.6051417714339238,-0.2063547900912621,-0.3263891314384305
Switzerland,0,-0.8495902957600683,-1.243691642866623,0.7142526916568421,-0.6214740397878431,0.0780810510469801,-0.1318802189222306
Thailand,0,-0.2479434169681444,-0.0951145252397654,0.3062203824668079,-0.6356078096425402,-0.623154434222021,0.361775365764989
Tunisia,0,-5.07098322443609,-4.880374593641819,2.9024536206760008,-1.9715074827697936,1.0420167168679693,-0.3563308311122666
Türkiye,0,1.8788594365310365,2.589997177758101,-0.878726146023826,2.2627815711129444,-0.1618774493280804,1.4808722252618864
Uganda,0,1.5235195174237026,0.1277507403809352,-0.4105135297410753,0.264867812341671,-1.1497863988365375,-0.719709353910678
Ukraine,0,-1.2900893972639833,-1.8049837803547015,0.8466432177734531,-1.0820246617696223,0.4807735733638956,-0.3828705994455479
United Arab Emirates,0,2.385123271521325,0.5090152467640029,-0.5284363028791488,1.4583572489172598,-0.8343455162302607,-0.4820802816317978
United Nations,0,0.3959255723654615,-0.3802145367075003,-0.1407129053209934,-1.1988456476095233,-0.6047658665644792,-0.1788253739231093
Uruguay,0,2.476145926146048,0.7295105715393634,-0.9508967323809568,0.497560721359553,-0.0845329571282932,-0.4586985089692088
Uzbekistan,0,4.706655375431507,1.9504097004764689,-1.26436249450522,1.9853731073720216,-0.1058041523199655,-0.698314703063977
