country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Council of Europe,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,0.0026998067005877618,0.000414297748627421,0.00012973014826719753,0.0016631900638021824,0.0003678022513469465,1.6117734514349105e-06,0.0014181180835537586,9.45474642590322e-06,0.0011597782686439664,2.3284782340495625e-05,7.484139359316889e-05,0.0012908559159803348,0.0016194848487889938,0.0005229998290181102,0.0009170914034532925,0.0005714104156569547,0.00033502413659778355,0.0004675800044196214,0.0025675970570014444,0.0007179182713142677,0.00031095588929229255,0.0007491543346181067,0.00048437964724410966,0.0012003741105427817,0.0008970044056028113
Denmark,0.0023063839899484123,0.003011269937286686,0.00010500687421010715,0.001505837352819544,0.0007596606921039538,4.571138894718136e-06,0.0035266571204272596,9.555933983820442e-06,0.0052729733982880824,0.003347568651821989,0.0007471551859427003,0.0012026019648409365,0.0016282535435926324,0.0011499315781019642,0.0020588398926148907,0.0005481466869128541,0.0015428141732721935,0.00045991725861206764,0.004213182668917822,0.0010086655579615903,0.00015813794287659506,0.0011365934832202015,0.0004578293617108079,0.0004589044717549548,9.191445186258198e-05
Egypt,0.012675795050159047,0.001318649206569206,0.00022858460407330762,0.001960500001167,0.0006737368136198145,1.2314144330021133e-05,0.005544925547468171,0.0001268811878437178,0.023804934470384388,0.00027554389589765435,0.00037185260249259633,0.0028388901670131418,0.000883874093676165,0.00045489196617261914,3.188117898600054e-05,0.0006749949886501595,0.0006294740157162962,0.000270258552303817,0.001672001225377982,0.00034163265682445634,9.971146210529092e-05,0.0006571897649675657,0.00017345214300417308,0.00033027711532753037,0.0004445788154326939
Estonia,0.0009445603298159423,0.0009187623103293529,6.68606015943868e-05,0.0013069130424085158,0.0021387148182444933,8.612612793301904e-06,0.004794792136604143,3.6360623770565315e-05,0.0021858029834579667,9.246635559797253e-05,0.0001337214688729396,0.0010219388495731454,0.001258099466629922,0.0016122265824352604,0.0004381740202371227,0.0004197685057161201,0.0008776351331799679,0.000675484492644064,0.0006036996076402251,0.0001560742887417617,0.0003725167610997909,0.0005247168962750668,0.0011595180471646517,0.0008617265634397313,0.00018574483881000217
European Union,0.003698207935488378,0.0012566972483112951,0.0004213496120198474,0.005230650612828642,0.0016305077975493582,1.0630269005938327e-05,0.00585638578660271,9.447805593390913e-05,0.005919865403533003,0.0009740122671162759,0.01056806544741757,0.001610371584462974,0.002187936816155311,0.0031396441512231556,0.0007791188459043715,0.0021520840712389634,0.0021714917619510103,0.0009876589922524102,0.0030178619341955895,0.0004587158967450593,0.0005033036389045294,0.0013545814308914157,0.0033502295457225398,0.0009765438994573122,0.0006908845168194134
Finland,0.0020230037353120207,0.0010952022066270388,5.6165719042974225e-05,0.004208460079007798,0.0007304708410356547,3.5735018652851825e-06,0.0020595295766430207,2.7529883688358264e-05,0.005920634389652372,0.00018711506815738416,0.0008161996485558224,0.001681288380698228,0.001832545589266733,0.003000116437917247,0.0006802697093206797,0.0006634086352595936,0.0006720511633516125,0.0006227290973225088,0.0011048631294582466,0.0007485066543694411,0.0002541168075473133,0.000774546418752892,0.000796660165408303,0.000571753163774996,0.0002097593725309571
France,0.0019467379510526477,0.0008318448957722746,0.00033978558773226173,0.0036280000067658207,0.0007549619913341448,3.579055739823464e-06,0.0023485150798408082,3.4007711243426617e-05,0.00173191347577685,9.136051086087685e-05,0.00039749537625069514,0.0006347633668852273,0.0026691125892637246,0.0012228847771112124,0.0005026811605709266,0.0007313729267645093,0.0009049080595747956,0.0006013551167452972,0.0011953769717210105,0.0007505380216462411,0.0004317247391406982,0.00034880510792767504,0.0008472891627758628,0.0012330728730010458,0.0005292752353718522
