doc_id,chunk_id,sentence_text,sentence_index_in_chunk,d_lemma,d_surface,d_class,d_polarity,d_method,i_head_lemma,i_phrase_text,i_has_conj,i_method,c_texts,c_types,c_cues,c_count,b_text,b_cue,b_found,a_raw_text,a_head,a_class,a_method,a_is_conjoined,o_local_present,o_local_text,o_local_type,o_local_cue,statement_type_candidate
0202754ecda31003,113,"• Sandbox specific risks, as opposed to technology or operational risks, should be covered in the accompanying Residency Plan and not in the Blueprint.",0,should,should,obligation,positive,modal_aux,cover,covered,False,modal_head,in the accompanying Residency Plan,prep_phrase,in,1,,,False,"• Sandbox specific risks , as opposed to technology or operational risks ,",risk,explicit,nsubjpass,False,False,,,,norm_candidate
0202754ecda31003,114,Examples of sandbox-specific risks may include: (i) Restrictions on the users (such as numbers of) that may be able to use the system during different milestones; and (ii) Limitations on the value of the transactions that users may carry out.,0,may,may,permission,positive,modal_aux,include,include i ) Restrictions on the users ( such as numbers of ) that may be able to use the system during different milestones ; and ( ii ) Limitations on the value of the transactions that users may carry out,False,modal_head,,,,0,system,aim_span,True,Examples of sandbox - specific risks,example,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,115,"Since a sandboxed IDPS may include parts which are not yet deployed, the required information is to be primarily provided for the parts already operational, but should also include any important information regarding design decisions for those parts that are not yet deployed, but which will eventually form a crucial part of the IDPS.",0,may,may,permission,positive,modal_aux,include,include parts which are not yet deployed,False,modal_head,,,,0,,,False,a sandboxed IDPS,idps,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,116,The above should be detailed enough such that they are not open to individual interpretation or misunderstanding.,0,should,should,obligation,positive,modal_aux,be,be,False,modal_head,,,,0,,,False,The above,above,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,117,The Blueprint will be used as the basis for the Technology Soundness Review made by the Technical Expert.,0,,,,,,use,used,False,strategy_root,,,,0,,,False,The Blueprint,blueprint,explicit,nsubjpass,False,False,,,,strategy_candidate
0202754ecda31003,118,"7 Sandbox Business Plan Guidelines The Applicant must include an updated Business Plan for the IDPS with the Application Form for Sandbox Residency to enable the Authority to understand the level of effort, quality and thought put into the business supporting the IDPS.",0,must,must,obligation,positive,modal_aux,include,"include an updated Business Plan for the IDPS with the Application Form for Sandbox Residency to enable the Authority to understand the level of effort , quality and thought put into the business supporting the IDPS",False,modal_head,,,,0,,,False,The Applicant,applicant,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,120,MDIA | TAS | Programme Guidelines The Authority understands that the maturity of the Business Plan will be commensurate with the maturity of the IDPS.,0,,,,,,understand,understands,False,strategy_root,,,,0,,,False,MDIA | TAS |,mdia,explicit,nsubj,False,False,,,,strategy_candidate
0202754ecda31003,121,"In this regard, the applicant must ensure the below points are addressed, as a minimum: • Company/Individual: Provide background information about your business defining aspects such as when and where it was formed, and how it is structured.",0,must,must,obligation,positive,modal_aux,ensure,ensure the below points,False,modal_head,In this regard,prep_phrase,in,1,,,False,the applicant,applicant,explicit,nsubj,False,False,,,,norm_candidate
0202754ecda31003,130,Details for this must be provided in the Blueprint.,0,must,must,obligation,positive,modal_aux,provide,provided,False,modal_head,in the Blueprint,prep_phrase,in,1,,,False,Details for this,detail,explicit,nsubjpass,False,False,,,,norm_candidate
0202754ecda31003,135,"The Business Plan will be used by the Authority for the purposes of evaluating the Application Form, and the business behind the development of the IDPS, and to ensure that the Sandbox Residency is aligned with the Applicant’s business and envisioned use of the IDPS.",0,,,,,,use|ensure,used|ensure,True,strategy_root,for the purposes of evaluating the Application Form,prep_phrase,for,1,,,False,The Business Plan,plan,explicit,nsubjpass,False,False,,,,strategy_candidate
