country,n_docs,n_statements,n_norm,other_low_confidence,n_rule,n_strategy,dclass_obligation,dclass_permission,dclass_prohibition,pct_a_explicit,pct_a_inferred,pct_a_conjoined,mean_c_count,pct_b_found,pct_o_local_present,pct_i_conjoined,pct_a_raw_present,pct_b_text_present,pct_c_text_present,statements_per_doc,n_strategy_share,n_norm_share,n_rule_share,rule_to_norm_ratio,rule_to_strategy_ratio,n_strong_deontic,strong_deontic_share,n_weak_deontic,weak_deontic_share
Mexico,13,2148,1116,190,36,806,612,664,66,0.770949720670391,0.0,0.07867783985102421,0.37243947858473,0.4264432029795158,0.024674115456238363,0.159683426443203,0.771415270018622,0.4264432029795158,0.3016759776536313,165.23076923076923,0.3752327746741155,0.5195530726256983,0.01675977653631285,0.03225806451612903,0.04466501240694789,66,0.030726256983240222,,
Finland,13,2069,980,100,12,977,526,503,63,0.874335427742871,0.0,0.10681488641855968,0.3914934751087482,0.25229579507008215,0.01014983083615273,0.15224746254229096,0.874335427742871,0.25229579507008215,0.3247945867568874,159.15384615384616,0.472208796520058,0.4736587723537941,0.005799903334944417,0.012244897959183673,0.012282497441146366,63,0.030449492508458194,,
Serbia,13,1487,457,43,15,972,258,235,22,0.7881640887693342,0.0,0.1620712844653665,0.4660390047074647,0.2568930733019502,0.01882985877605918,0.17350369872225957,0.7881640887693342,0.2568930733019502,0.3705447209145931,114.38461538461539,0.6536650975117687,0.3073301950235373,0.010087424344317418,0.03282275711159737,0.015432098765432098,22,0.014794889038332213,,
Peru,12,2319,905,174,18,1222,430,621,46,0.723156532988357,0.0,0.11858559724018973,0.31220353600689954,0.4540750323415265,0.013367830961621389,0.1500646830530401,0.7235877533419578,0.4540750323415265,0.25053902544200085,193.25,0.5269512721000431,0.3902544200086244,0.007761966364812419,0.019889502762430938,0.014729950900163666,46,0.019836136265631736,,
Sweden,12,685,422,29,10,224,252,200,9,0.8598540145985402,0.0,0.11094890510948906,0.35766423357664234,0.27445255474452557,0.014598540145985401,0.15036496350364964,0.8598540145985402,0.27445255474452557,0.28905109489051095,57.083333333333336,0.327007299270073,0.6160583941605839,0.014598540145985401,0.023696682464454975,0.044642857142857144,9,0.013138686131386862,,
Netherlands,11,1630,783,93,54,700,270,613,47,0.8883435582822086,0.0,0.11717791411042945,0.4049079754601227,0.33496932515337424,0.03987730061349693,0.12331288343558282,0.8883435582822086,0.33496932515337424,0.34294478527607364,148.1818181818182,0.4294478527607362,0.4803680981595092,0.033128834355828224,0.06896551724137931,0.07714285714285714,47,0.02883435582822086,,
Portugal,11,1301,414,51,12,824,199,267,11,0.7671022290545734,0.0,0.12682551883166795,0.28823981552651806,0.377401998462721,0.01614142966948501,0.17140661029976942,0.7686395080707148,0.377401998462721,0.24519600307455802,118.27272727272727,0.633358954650269,0.31821675634127594,0.009223674096848577,0.028985507246376812,0.014563106796116505,11,0.008455034588777863,,
Denmark,11,1126,554,25,11,536,274,292,24,0.9103019538188277,0.0,0.09147424511545293,0.36767317939609234,0.25932504440497334,0.012433392539964476,0.11456483126110124,0.9103019538188277,0.25932504440497334,0.31705150976909413,102.36363636363636,0.47602131438721135,0.4920071047957371,0.009769094138543518,0.019855595667870037,0.020522388059701493,24,0.021314387211367674,,
Italy,11,1016,501,68,12,435,257,285,39,0.8208661417322834,0.0,0.10236220472440945,0.4438976377952756,0.32381889763779526,0.01968503937007874,0.16043307086614172,0.8208661417322834,0.32381889763779526,0.3562992125984252,92.36363636363636,0.4281496062992126,0.49311023622047245,0.011811023622047244,0.023952095808383235,0.027586206896551724,39,0.038385826771653545,,
Estonia,9,665,327,47,10,281,170,188,26,0.8511278195488722,0.0,0.11278195488721804,0.40150375939849625,0.24962406015037594,0.015037593984962405,0.18796992481203006,0.8511278195488722,0.24962406015037594,0.3473684210526316,73.88888888888889,0.42255639097744363,0.4917293233082707,0.015037593984962405,0.03058103975535168,0.03558718861209965,26,0.039097744360902256,,
