country,cluster_id,pca1,pca2,pca3,pca4,pca5,regulatory_intensity_index,strategic_orientation_index,institutional_complexity_index,governance_density_index,normative_orientation_index
Estonia,0,0.2124874288907975,-0.5996818879326262,0.09972411218743432,-0.9202776378392231,0.7816884015122673,0.003386001098497654,-0.12460921048937572,0.01791260256416935,-0.3488058330453753,-0.010473745217618144
Finland,0,0.48664398939590364,0.49571039963643243,0.8576433427393918,-0.9646269083606533,0.6781948466470845,-0.5334972891427556,0.12510114432511452,-0.0028114943890843944,0.08153913239645448,0.12133667720846487
France,0,-0.6768432906214988,-0.23564777874854667,0.7372022106883669,0.5379370641747349,0.1060119529867896,0.2886047578462255,-0.23804912005181617,0.049793048181297345,0.026607816990567173,0.20903168896653226
G7,0,0.794527640694769,0.05632325459097591,1.0159573172783118,1.2682110563499402,-0.9416700603988447,-0.1900779067584644,-0.23804912005181617,-0.4169321158288356,0.1851204955898025,-0.043086680884459556
Germany,0,-2.0991333061023596,0.5937099326121583,0.6521345523839621,1.4399241011312127,0.414125526897297,0.19310195943067257,-1.0158258987449593,0.44474180308582517,0.5276980083644619,0.5840407003284105
Global Partnership on Artificial Intelligence,0,2.8262448493829058,1.0021633647977253,2.6403541078365955,-0.4070903772527466,-0.07141624344898367,-1.2643624945052199,0.7178054222612713,-0.7651221628229279,-0.5903484181438842,-0.146827184338476
Greece,0,2.4353001020744176,0.6595382252703972,-0.168677775552235,-1.8228642008565115,2.288324277499878,-0.7598153789627713,0.6077657207917762,-1.126596975550541,-0.6938159718899967,-0.7798087753517894
Hungary,0,0.4216380464543661,-1.1290910901575368,-0.12526740705646996,0.23267769153678058,-1.3035547804401448,0.2489792884962098,0.4278501515432642,0.3718766988916679,-0.5221507379991034,-0.07416026143152477
Iceland,0,-4.221031175978848,-4.3931231785775555,-0.9572585010139938,0.0633837191064638,-1.8448420713930689,2.815595335787658,-1.0619230897014489,1.2675379384002157,-0.18457945881659418,0.6200032199498543
India,0,-1.2277785881238097,0.4185371274715959,0.9867340864663793,1.6659902996835942,-0.20424069377734538,0.04647536251373617,-0.7170449109728705,0.22437693589083005,0.42468171266100246,0.5356420337141151
