country,regulatory_intensity_index,strategic_orientation_index,institutional_complexity_index,governance_density_index,normative_orientation_index
Serbia,-0.27122563690873125,1.0376756069073192,0.05340144784320647,-0.08569404971056271,-0.6043626746451001
Peru,-0.4828932394008309,0.40041032322822956,-0.4850920241872771,0.17162848526357974,-0.7213067003169602
Sweden,-0.3754692909225521,-0.6051417714339238,-0.20635479009126217,-0.32638913143843057,0.26199861662786667
Netherlands,1.0130627396451461,-0.08995088229177085,0.3370074245811901,-0.02696253863676829,0.1533868637768501
Portugal,-0.44035293501056444,0.9355525761408259,-0.5922674529350969,-0.1340183954156171,-0.6896287413660369
Denmark,-0.44563042703664263,0.14427494222955553,0.052960676882975184,-0.19096300008521758,0.27327924696985056
Italy,-0.06412148626735902,-0.09647998357097234,0.22004701233009694,-0.22675675159182354,-0.12948891632027626
Estonia,0.003386001098497654,-0.12460921048937572,0.01791260256416935,-0.3488058330453753,-0.010473745217618144
Ireland,-0.6751247822335243,1.044860039603384,-0.6896817871363724,0.29140372404587284,-0.3963929932478412
New Zealand,-0.2625595273626634,-0.9081267446673903,0.29477255006830144,-0.3308154263340693,0.5448744497241192
Chile,-0.7700777192241485,0.7187196781601837,-0.8593106920649961,-0.3667770170146305,-0.5901853270458566
OECD,-0.013107990389446874,-0.8980727381319252,-0.1767794957447935,-0.3843396543237418,0.48898347670909464
Czech Republic,-0.2826616007855484,1.168019680499871,-0.4924838778228594,-0.3329515837645551,-0.7662731246050335
Slovenia,-0.007129748137679718,0.7590950353201518,-0.6675886656113514,-0.4300349087229152,-0.4646804317978999
Egypt,-0.860471811073112,0.32502534013993506,-0.3384726064928337,-0.45103851268025275,-0.12050197726328304
Thailand,0.30622038246680794,-0.6356078096425402,-0.623154434222021,0.361775365764989,0.32748266061516146
Argentina,1.1838288875878853,-0.06616611784138401,0.44069025155058206,0.17148701029434366,0.008611860254573242
Korea (Republic of),-0.09415375111576951,0.30735695409534475,-0.19347427605636047,-0.3223059568347891,-0.2557351917725103
Romania,-0.4927939059392578,1.4989939529722556,-0.9304124893834453,-0.35100866967114336,-1.2258321248226967
Russia,0.46314910297337786,1.1556848002135427,-0.061110286316481466,-0.5498015326488567,-1.1555844715269614
Costa Rica,1.593836183827888,-0.43181365244584424,0.333263063226373,0.4593547214876654,-0.13273601721209602
Latvia,-0.8168032375824514,-0.034317898147372405,0.2803294291352523,-0.25123270320660235,-0.30303313349594546
United Arab Emirates,-0.5284363028791488,1.4583572489172598,-0.8343455162302607,-0.4820802816317978,-0.5193055796805998
Global Partnership on Artificial Intelligence,-1.2643624945052199,0.7178054222612713,-0.7651221628229279,-0.5903484181438842,-0.146827184338476
Kenya,-0.38804043536006455,0.12492570941478764,-0.6367502051082676,0.15929895364862703,-0.009082936988969429
Bulgaria,-0.49890718989710325,0.6858616245262645,-0.06343594055911013,-0.04240328568431084,-0.49214169338449326
