country,overall_n_docs,overall_n_statements,overall_statements_per_doc,overall_n_strategy_share,overall_n_norm_share,overall_n_rule_share,overall_rule_to_norm_ratio,overall_rule_to_strategy_ratio,overall_pct_a_explicit,overall_mean_c_count,overall_pct_b_found,overall_pct_o_local_present,overall_strong_deontic_share,edu_n_docs,edu_n_statements,edu_statements_per_doc,edu_n_strategy_share,edu_n_norm_share,edu_n_rule_share,edu_rule_to_norm_ratio,edu_rule_to_strategy_ratio,edu_pct_a_explicit,edu_mean_c_count,edu_pct_b_found,edu_pct_o_local_present,edu_strong_deontic_share,delta_strategy_share,delta_norm_share,delta_rule_share,delta_strong_deontic_share,delta_o_local_present,delta_statements_per_doc
Ireland,8,2189,273.625,0.6550936500685245,0.3019643672910004,0.0050251256281407,0.0166414523449319,0.007670850767085,0.8359981726815897,0.2553677478300594,0.3047053449063499,0.0114207400639561,0.0127912288716308,7.0,85.0,12.142857142857142,0.7529411764705882,0.2352941176470588,0.0,0.0,0.0,0.8470588235294118,0.4352941176470588,0.3647058823529411,0.0,0.1058823529411764,0.09784752640206373,-0.06667024964394161,-0.0050251256281407,0.0930911240695456,-0.0114207400639561,-261.48214285714283
Israel,16,1805,112.8125,0.4526315789473684,0.4775623268698061,0.0121883656509695,0.025522041763341,0.0269277845777233,0.817174515235457,0.5202216066481995,0.3939058171745152,0.0221606648199446,0.0321329639889196,10.0,61.0,6.1,0.5081967213114754,0.4426229508196721,0.0,0.0,0.0,0.8032786885245902,0.5409836065573771,0.4262295081967213,0.0,0.2786885245901639,0.055565142364107034,-0.034939376050133975,-0.0121883656509695,0.2465555606012443,-0.0221606648199446,-106.7125
Italy,11,1016,92.36363636363636,0.4281496062992126,0.4931102362204724,0.0118110236220472,0.0239520958083832,0.0275862068965517,0.8208661417322834,0.4438976377952756,0.3238188976377952,0.0196850393700787,0.0383858267716535,5.0,46.0,9.2,0.6304347826086957,0.3260869565217391,0.0,0.0,0.0,0.8478260869565217,0.3695652173913043,0.2826086956521739,0.0,0.2391304347826087,0.20228517630948306,-0.16702327969873332,-0.0118110236220472,0.2007446080109552,-0.0196850393700787,-83.16363636363636
Japan,18,4305,239.16666666666663,0.2968641114982578,0.6313588850174217,0.0241579558652729,0.0382634289919058,0.081377151799687,0.878513356562137,0.4241579558652729,0.4387921022067363,0.0332171893147502,0.059465737514518,12.0,156.0,13.0,0.3012820512820512,0.5833333333333334,0.0256410256410256,0.0439560439560439,0.0851063829787234,0.782051282051282,0.4358974358974359,0.6410256410256411,0.032051282051282,0.4423076923076923,0.004417939783793401,-0.048025551684088286,0.0014830697757526982,0.3828419547931743,-0.0011659072634681994,-226.16666666666663
Kazakhstan,3,100,33.333333333333336,0.39,0.5,0.03,0.06,0.0769230769230769,0.82,0.67,0.17,0.05,0.05,2.0,19.0,9.5,0.5263157894736842,0.3684210526315789,0.0526315789473684,0.1428571428571428,0.1,0.7368421052631579,0.631578947368421,0.4210526315789473,0.0526315789473684,0.4210526315789473,0.13631578947368417,-0.13157894736842107,0.0226315789473684,0.3710526315789473,0.0026315789473683945,-23.833333333333336
Kenya,4,1150,287.5,0.4721739130434783,0.4704347826086956,0.0069565217391304,0.0147874306839186,0.0147329650092081,0.8573913043478261,0.248695652173913,0.3121739130434782,0.0234782608695652,0.0208695652173913,4.0,42.0,10.5,0.4047619047619047,0.5714285714285714,0.0238095238095238,0.0416666666666666,0.0588235294117647,0.8095238095238095,0.2619047619047619,0.3571428571428571,0.0238095238095238,0.2619047619047619,-0.06741200828157357,0.10099378881987581,0.016853002070393402,0.2410351966873706,0.00033126293995860284,-277.0
Korea (Republic of),6,651,108.5,0.5084485407066052,0.4393241167434716,0.0122887864823348,0.0279720279720279,0.0241691842900302,0.8187403993855606,0.3425499231950845,0.3317972350230415,0.0276497695852534,0.0199692780337941,4.0,33.0,8.25,0.4242424242424242,0.5454545454545454,0.0,0.0,0.0,0.7272727272727273,0.3939393939393939,0.4242424242424242,0.0,0.0909090909090909,-0.08420611646418097,0.10613042871107381,-0.0122887864823348,0.0709398128752968,-0.0276497695852534,-100.25
Latvia,5,706,141.2,0.4405099150141643,0.5141643059490085,0.0042492917847025,0.0082644628099173,0.0096463022508038,0.7747875354107648,0.4518413597733711,0.415014164305949,0.0070821529745042,0.0155807365439093,5.0,52.0,10.4,0.6153846153846154,0.3653846153846153,0.0,0.0,0.0,0.7884615384615384,0.4615384615384615,0.5192307692307693,0.0192307692307692,0.2115384615384615,0.1748747003704511,-0.14877969056439322,-0.0042492917847025,0.19595772499455222,0.012148616256265,-130.79999999999998
Lithuania,1,124,124.0,0.4758064516129032,0.4919354838709677,0.0080645161290322,0.0163934426229508,0.0169491525423728,0.8548387096774194,0.2661290322580645,0.3870967741935484,0.0241935483870967,0.0080645161290322,1.0,8.0,8.0,0.25,0.75,0.0,0.0,0.0,0.875,0.375,0.0,0.0,0.625,-0.2258064516129032,0.2580645161290323,-0.0080645161290322,0.6169354838709677,-0.0241935483870967,-116.0
Luxembourg,4,132,33.0,0.6212121212121212,0.3484848484848485,0.0,0.0,0.0,0.8863636363636364,0.3333333333333333,0.3257575757575757,0.0075757575757575,0.0151515151515151,1.0,2.0,2.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.5,0.0,0.0,0.3787878787878788,-0.3484848484848485,0.0,-0.0151515151515151,-0.0075757575757575,-31.0
Malaysia,1,14,14.0,0.9285714285714286,0.0,0.0,,0.0,0.9285714285714286,0.4285714285714285,0.2857142857142857,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,-13.0
Malta,20,2285,114.25,0.4350109409190372,0.5277899343544857,0.0131291028446389,0.0248756218905472,0.0301810865191146,0.8713347921225383,0.3566739606126914,0.2914660831509846,0.0148796498905908,0.0428884026258205,17.0,261.0,15.352941176470589,0.4942528735632184,0.4789272030651341,0.0114942528735632,0.024,0.0232558139534883,0.8850574712643678,0.6091954022988506,0.7547892720306514,0.0191570881226053,0.210727969348659,0.059241932644181206,-0.048862731289351646,-0.0016348499710757015,0.1678395667228385,0.004277438232014499,-98.8970588235294
Mauritius,2,816,408.0,0.1764705882352941,0.6752450980392157,0.0367647058823529,0.0544464609800363,0.2083333333333333,0.8174019607843137,0.6139705882352942,0.1764705882352941,0.0379901960784313,0.0367647058823529,2.0,30.0,15.0,0.0666666666666666,0.7333333333333333,0.0333333333333333,0.0454545454545454,0.5,0.8,1.5,0.5,0.0333333333333333,0.7333333333333333,-0.1098039215686275,0.05808823529411755,-0.0034313725490196026,0.6965686274509804,-0.004656862745098002,-393.0
Mexico,13,2148,165.23076923076923,0.3752327746741155,0.5195530726256983,0.0167597765363128,0.032258064516129,0.0446650124069478,0.770949720670391,0.37243947858473,0.4264432029795158,0.0246741154562383,0.0307262569832402,12.0,120.0,10.0,0.375,0.5666666666666667,0.0083333333333333,0.0147058823529411,0.0222222222222222,0.875,0.5333333333333333,0.75,0.0083333333333333,0.3416666666666667,-0.0002327746741154768,0.047113594040968376,-0.0084264432029795,0.31094040968342646,-0.016340782122905,-155.23076923076923
